row,StateName,DistrictName,BlockName,PanchayatName,VillageName,HabitationName,Location,TypeOfSource,Lab,LabTestingDate,SampleName,AbovePMandatory,BelowPMandatory,AbovePEmerging,BelowPEmerging,Testid
1,TAMIL NADU,Cuddalore,ANNAGRAMAM,AGARAM,AGARAM,AGARAM,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (1995) -AGARAM,/SC511233",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,20/12/2019,1869,,"Nitrate[6.000 mg/l],Fluoride[0.100 mg/l],Iron[0.000 mg/l],Chloride[87.000 mg/l],pH[7.500 pH],TDS[627.000 mg/l],Alkalinity[276.000 mg/l]",,"E.Coli[0.000 MPN/100ml],Sulphates[16.000 mg/l],Manganese[0.000 mg/l],Hardness[184.000 mg/l],Residual Chlorine[0.000 mg/l]",L0030769246
2,TAMIL NADU,Cuddalore,ANNAGRAMAM,AGARAM,AGARAM,AGARAM COLONY,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (2000) -AGARAM COLONY,/SC513474",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,20/12/2019,1870,,"Nitrate[7.000 mg/l],Fluoride[0.200 mg/l],Iron[0.000 mg/l],Chloride[37.000 mg/l],pH[7.200 pH],TDS[644.000 mg/l],Alkalinity[341.000 mg/l]",,"E.Coli[0.000 MPN/100ml],Sulphates[39.000 mg/l],Manganese[0.000 mg/l],Hardness[276.000 mg/l],Residual Chlorine[0.000 mg/l]",L0030769285
3,TAMIL NADU,Cuddalore,ANNAGRAMAM,AGARAM,AGARAM,EASWARAN KOIL,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (2000) -EASWARAN KOIL,/SC506183",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,20/12/2019,1871,,"Nitrate[8.000 mg/l],Fluoride[0.200 mg/l],Iron[0.000 mg/l],Chloride[126.000 mg/l],pH[7.800 pH],TDS[651.000 mg/l],Alkalinity[268.000 mg/l]",,"E.Coli[0.000 MPN/100ml],Sulphates[33.000 mg/l],Manganese[0.000 mg/l],Hardness[296.000 mg/l],Residual Chlorine[0.000 mg/l]",L0030769334
4,TAMIL NADU,Cuddalore,ANNAGRAMAM,AGARAM,AGARAM,KUCHI PALAI YAM,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (2000) -KUCHI PALAI YAM,/SC509971",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,20/12/2019,1872,,"Nitrate[14.000 mg/l],Fluoride[0.200 mg/l],Iron[0.000 mg/l],Chloride[157.000 mg/l],pH[7.100 pH],TDS[571.000 mg/l],Alkalinity[138.000 mg/l]",,"E.Coli[0.000 MPN/100ml],Sulphates[26.000 mg/l],Manganese[0.000 mg/l],Hardness[300.000 mg/l],Residual Chlorine[0.000 mg/l]",L0030769370
5,TAMIL NADU,Cuddalore,ANNAGRAMAM,AKKADAVALLAI,AKKADAVALLI,AKKADA VALLI,"In Habitation/ Scheme Name: Tubewell Power Pump-Deep Tubewell (2001) -AKKADA VALLI,/SC505507",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,20/12/2019,1873,,"Nitrate[10.000 mg/l],Fluoride[0.100 mg/l],Iron[0.000 mg/l],Chloride[74.000 mg/l],pH[7.800 pH],TDS[522.000 mg/l],Alkalinity[264.000 mg/l]",,"E.Coli[0.000 MPN/100ml],Sulphates[14.000 mg/l],Manganese[0.000 mg/l],Hardness[240.000 mg/l],Residual Chlorine[0.000 mg/l]",L0030769413
6,TAMIL NADU,Cuddalore,ANNAGRAMAM,AKKADAVALLAI,AKKADAVALLI,AKKADAVALLI COLONY,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (1993) -AKKADAVALLI COLONY,/SC508227",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,20/12/2019,1874,,"Nitrate[7.000 mg/l],Fluoride[0.300 mg/l],Iron[0.000 mg/l],Chloride[171.000 mg/l],pH[7.200 pH],TDS[627.000 mg/l],Alkalinity[156.000 mg/l]",,"E.Coli[0.000 MPN/100ml],Sulphates[43.000 mg/l],Manganese[0.000 mg/l],Hardness[220.000 mg/l],Residual Chlorine[0.000 mg/l]",L0030770231
7,TAMIL NADU,Cuddalore,ANNAGRAMAM,AKKADAVALLAI,AKKADAVALLI,CHINNA VELAN GADU,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (2000) -CHINNA VELAN GADU,/SC508263",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,20/12/2019,1875,,"Nitrate[10.000 mg/l],Fluoride[0.100 mg/l],Iron[0.000 mg/l],Chloride[58.000 mg/l],pH[7.100 pH],TDS[406.000 mg/l],Alkalinity[199.000 mg/l]",,"E.Coli[0.000 MPN/100ml],Sulphates[14.000 mg/l],Manganese[0.000 mg/l],Hardness[176.000 mg/l],Residual Chlorine[0.000 mg/l]",L0030770255
8,TAMIL NADU,Cuddalore,ANNAGRAMAM,AKKADAVALLAI,AKKADAVALLI,SENGATTU COLONY,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (1985) -SENGATTU COLONY,/SC507898",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,20/12/2019,1876,,"Nitrate[12.000 mg/l],Fluoride[0.200 mg/l],Iron[0.000 mg/l],Chloride[116.000 mg/l],pH[7.100 pH],TDS[714.000 mg/l],Alkalinity[264.000 mg/l]",,"E.Coli[0.000 MPN/100ml],Sulphates[25.000 mg/l],Manganese[0.000 mg/l],Hardness[260.000 mg/l],Residual Chlorine[0.000 mg/l]",L0030770326
9,TAMIL NADU,Cuddalore,ANNAGRAMAM,AKKADAVALLAI,AKKADAVALLI,VELAN KADU,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (1990) -VELAN KADU,/SC503055",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,20/12/2019,1877,,"Nitrate[15.000 mg/l],Fluoride[0.100 mg/l],Iron[0.000 mg/l],Chloride[111.000 mg/l],pH[7.100 pH],TDS[721.000 mg/l],Alkalinity[285.000 mg/l]",,"E.Coli[0.000 MPN/100ml],Sulphates[12.000 mg/l],Manganese[0.000 mg/l],Hardness[220.000 mg/l],Residual Chlorine[0.000 mg/l]",L0030770364
10,TAMIL NADU,Cuddalore,ANNAGRAMAM,ELLUMEDU,ELUMEDU,ELLUMEDU,",/SC504504",,District Water Testing Laboratory / DISTRICT Lab,10/12/2019,1751,,"Nitrate[7.000 mg/l],Fluoride[0.100 mg/l],Iron[0.000 mg/l],Chloride[111.000 mg/l],pH[7.800 pH],TDS[882.000 mg/l],Alkalinity[393.000 mg/l]",,"E.Coli[0.000 MPN/100ml],Sulphates[37.000 mg/l],Manganese[0.000 mg/l],Hardness[252.000 mg/l],Residual Chlorine[0.000 mg/l]",L0030685057
